    2     5     4.754276176478917e+06
   -4.198433931434520e+04     8.468822249692281e+04     1.396364875411875e+04    -1.062205355878130e+04
   -1.405697423969717e+04     5.285732932751087e+04     5.049921187189751e+03    -8.822916548341604e+03
   -4.473794332008163e+03     3.052971270797111e+04     1.646266432090366e+03    -5.496538220861484e+03
   -1.400791782253232e+03     1.720882170413647e+04     5.193299461116089e+02    -3.168863148169208e+03
   -4.363590151123119e+02     9.626645027053943e+03     1.621523465312370e+02    -1.784966835870925e+03
   -1.357121813956949e+02     5.372427007557712e+03     5.046766447557334e+01    -9.982859239650902e+02
   -4.218658961763070e+01     2.996034573285604e+03     1.569173429813937e+01    -5.570811086742511e+02
   -1.311150263458092e+01     1.670418439345865e+03     4.877466861761349e+00    -3.106576535387721e+02
   -4.074518391506804e+00     9.312747116316690e+02     1.515918844363814e+00    -1.732000574990181e+02
   -1.265861664979148e+00     5.192024495356003e+02     4.711341767433641e-01    -9.655376524215987e+01
   -3.929599751562658e-01     2.894970264151671e+02     1.464230204445247e-01    -5.381830214752993e+01
   -1.216724824424809e-01     1.614789660905933e+02     4.550657708728133e-02    -2.998626717088552e+01
   -3.735891695711960e-02     9.018175810892765e+01     1.414331365119132e-02    -1.668711427648223e+01
   -1.115298673243625e-02     5.056121144817830e+01     4.396627657958475e-03    -9.249929343129404e+00
   -3.007072028933906e-03     2.869171048694175e+01     1.364269292114220e-03    -5.070294118840708e+00
   -5.376108560072794e-04     1.674248149639425e+01     3.728103157060478e-04    -2.803521036589960e+00
   -2.390396050194380e-05     9.459017768247080e+00     3.314797149644424e-05    -2.050438868294707e+00
   -4.255114254655321e-08     3.141643914629745e+00     1.202303182951202e-07    -2.000146100753941e+00
    2    20     1.222015728799431e+04
   -2.309805899879820e+04     5.394337935974982e+03     1.548492418633355e+03     3.134434847243796e+03
   -1.555512023205595e+04     1.170161182960154e+04     2.762357706195695e+03     7.970070455891505e+02
   -7.944568726043814e+03     1.141913680938806e+04     1.930566204173797e+03    -7.158771784887764e+02
   -3.502200012056795e+03     8.546398544466469e+03     9.605158103310569e+02    -9.751626584059218e+02
   -1.444426366201753e+03     5.753002318023964e+03     4.154711000213336e+02    -7.752252657037695e+02
   -5.793929308317200e+02     3.711786276856882e+03     1.698139353899212e+02    -5.306775644443155e+02
   -2.298135741818555e+02     2.354833269772197e+03     6.785740977726294e+01    -3.443282231993282e+02
   -9.074583308320911e+01     1.484058229105163e+03     2.687443406079781e+01    -2.189017173941930e+02
   -3.576614499002655e+01     9.328439054036305e+02     1.060595450100369e+01    -1.380614226705834e+02
   -1.408356915073149e+01     5.857796884490144e+02     4.179811117901654e+00    -8.680178347784999e+01
   -5.540794642283571e+00     3.677254055179496e+02     1.646364454077571e+00    -5.450210718208769e+01
   -2.176285362100652e+00     2.308589924572627e+02     6.483397505023826e-01    -3.419679316545660e+01
   -8.513896566733504e-01     1.450124171586070e+02     2.552986571074330e-01    -2.143932211548994e+01
   -3.296773333068714e-01     9.122618242677341e+01     1.005350552224406e-01    -1.341924503247874e+01
   -1.242020417880811e-01     5.761277066152592e+01     3.960856720787807e-02    -8.365485017306149e+00
   -4.320931302449264e-02     3.674009552907650e+01     1.561944493023762e-02    -5.163119900059615e+00
   -1.153408637231899e-02     2.394424799537720e+01     5.877642838882013e-03    -3.150366045562627e+00
   -1.303181251949702e-03     1.587059405402117e+01     1.225777886228267e-03    -2.169601257628324e+00
   -2.085902319099095e-05     9.426789422361649e+00     3.650367791888589e-05    -2.003632537865038e+00
   -1.289228047401315e-08     3.141593772410077e+00     4.039716013375616e-08    -2.000003522523785e+00
    2    20     1.510880363666204e+03
   -2.927141208542207e+03     5.106538085828216e+02     1.111834864143358e+02     3.089808067753514e+02
   -2.325981028895545e+03     1.267125509004393e+03     2.461187480730546e+02     1.588750617806762e+02
   -1.535688008522509e+03     1.507944389415590e+03     2.382290027542898e+02     4.370527897657581e+00
   -8.950254109695736e+02     1.378003992149494e+03     1.663352309506400e+02    -7.399339617669277e+01
   -4.844699425090780e+02     1.107700097778699e+03     9.842684359488585e+01    -9.094989637795143e+01
   -2.518230561807228e+02     8.346384901737318e+02     5.348939252118156e+01    -8.050606806339782e+01
   -1.281252156642089e+02     6.087211109238522e+02     2.783550262120055e+01    -6.309981344466345e+01
   -6.445609392413515e+01     4.367766010645107e+02     1.417228302507842e+01    -4.684001710946127e+01
   -3.221675285006782e+01     3.108944876292850e+02     7.137129022089970e+00    -3.387951906643313e+01
   -1.602547749921077e+01     2.204618540587877e+02     3.574647928315040e+00    -2.419122532916500e+01
   -7.927018945924983e+00     1.561190466467564e+02     1.785548941189774e+00    -1.715527650070549e+01
   -3.884381939842143e+00     1.105899675614983e+02     8.907943095958681e-01    -1.211180272374532e+01
   -1.867880188187992e+00     7.850932135841815e+01     4.443369402086432e-01    -8.513795443379966e+00
   -8.615654932368548e-01     5.602289474000054e+01     2.219619650623886e-01    -5.944411863209304e+00
   -3.582812215974934e-01     4.040488905038147e+01     1.110522843950140e-01    -4.099195632842489e+00
   -1.106217794879829e-01     2.970136723593025e+01     5.151317985913287e-02    -2.803878435380058e+00
   -1.512926250933984e-02     2.213131238487415e+01     1.277456133110521e-02    -2.132757003019982e+00
   -4.354708159150232e-04     1.571106968396146e+01     6.266086797201381e-04    -2.004658545693135e+00
   -1.546488206167689e-06     9.424787610884120e+00     3.387774389032928e-06    -2.000021408739579e+00
   -2.653887044152492e-10     3.141592655157290e+00     9.336869462210888e-10    -2.000000005527582e+00
    2    25     3.867378956616377e+10
   -6.077320369364378e+10     3.059678380237500e+10     1.692123827916010e+10     1.254542897972015e+10
   -1.460591138411945e+10     2.998846283807779e+10     8.283262825530298e+09    -6.486299976716513e+09
   -2.187022290547302e+09     1.272079536885996e+10     1.366304795103021e+09    -3.856098788856364e+09
   -3.019947565476583e+08     4.786854771686548e+09     1.911953096040010e+08    -1.509267032556283e+09
   -4.122599256073815e+07     1.771663032000535e+09     2.614798773212380e+07    -5.615430484522009e+08
   -5.619031450880168e+06     6.542260379070795e+08     3.564808418811441e+06    -2.075107131353775e+08
   -7.657004317265709e+05     2.415129232401696e+08     4.857896789660904e+05    -7.661175394573624e+07
   -1.043382765859096e+05     8.915272935196063e+07     6.619650313517894e+04    -2.828104430008595e+07
   -1.421761338798866e+04     3.290988926955791e+07     9.020245589203836e+03    -1.043969968781972e+07
   -1.937356333725410e+03     1.214836576612728e+07     1.229139584856770e+03    -3.853714624625777e+06
   -2.639929209504956e+02     4.484450672581832e+06     1.674881111582609e+02    -1.422561194960687e+06
   -3.597286697153279e+01     1.655391180191916e+06     2.282268602571365e+01    -5.251245778205775e+05
   -4.901825221181357e+00     6.110714899422112e+05     3.109922208626706e+00    -1.938446103894729e+05
   -6.679448315017542e-01     2.255710736027956e+05     4.237720376404838e-01    -7.155584509053650e+04
   -9.101717711898168e-02     8.326735923839128e+04     5.774509134515964e-02    -2.641414147579403e+04
   -1.240240937633931e-02     3.073733272919445e+04     7.868606908817414e-03    -9.750522352166572e+03
   -1.690006930054038e-03     1.134638663765282e+04     1.072211537678262e-03    -3.599309987712317e+03
   -2.302872728253521e-04     4.188408922003046e+03     1.461043361598581e-04    -1.328649790290224e+03
   -3.137932262441905e-05     1.546113204863072e+03     1.990881361665280e-05    -4.904571604462841e+02
   -4.275322047103569e-06     5.707405828619054e+02     2.712842261234037e-06    -1.810449373218616e+02
   -5.820414759643836e-07     2.107049456895719e+02     3.696608362272592e-07    -6.682411872254279e+01
   -7.878369771534275e-08     7.783799434035748e+01     5.037080204457085e-08    -2.464917947356721e+01
   -1.021345387634282e-08     2.888503208043884e+01     6.858622512117156e-09    -9.055590449803987e+00
   -9.547142584879242e-10     1.092131801702088e+01     8.653130651466150e-10    -3.375077256324674e+00
   -1.377894061757376e-11     3.159754212802467e+00     2.855449324229107e-11    -2.038736577872309e+00
    2    25     1.767980261388775e+09
   -2.932655679354784e+09     1.284247920399536e+09     6.381758991990042e+08     5.889233575065727e+08
   -9.259043230571325e+08     1.542328752657431e+09     4.364889293543850e+08    -2.325231407979714e+08
   -1.847767716302595e+08     7.820873231726789e+08     9.936060296953343e+07    -1.985396356749212e+08
   -3.326166069214310e+07     3.393297005108014e+08     1.830882242995034e+07    -9.249438682146960e+07
   -5.874197308565493e+06     1.431645022532985e+08     3.246788914719936e+06    -3.949836359824469e+07
   -1.033905861368113e+06     6.010389351872045e+07     5.718752561212354e+05    -1.661745031779712e+07
   -1.818670887732783e+05     2.521111837568082e+07     1.006073689724109e+05    -6.972928181302273e+06
